============================================================
CICERO: TOP COLLOCATIONS by PMI (Inseparability)
============================================================

Collocation                    | PMI        | Count
------------------------------------------------------------
('nihilominus', 'minus')       |      11.22 |     3
('aphractum', 'rhodius')       |      11.22 |     3
('ingredior', 'curro')         |      11.00 |     4
('trebulanus', 'pontius')      |       9.75 |     3
('quemadmodum', 'ad')          |       9.48 |    10
('quemadmodum', 'modum')       |       9.48 |    10
('ad', 'modum')                |       9.48 |    10
('moror', 'triduum')           |       9.48 |     3
('nummus', 'erogo')            |       9.00 |     3
('orbis', 'terra')             |       8.90 |     3
('porticus', 'catulus')        |       8.75 |     3
('terruncius', 'sumptus')      |       8.69 |     3
('caedes', 'incendium')        |       8.64 |     5
('aes', 'alienus')             |       8.40 |     4
('vi', 'idus')                 |       8.39 |     3
('vi', 'maias')                |       8.39 |     3
('deus', 'immortalis')         |       8.37 |     5
('mensis', 'ianuarius')        |       8.31 |     4
('ager', 'campanus')           |       8.02 |     4
('mehercule', 'hercule')       |       7.90 |    29
('aulius', 'filius')           |       7.90 |     3
('consulatus', 'graece')       |       7.87 |     3
('quare', 're')                |       7.76 |    33
('tertius', 'quartus')         |       7.69 |     3
('ordo', 'concordia')          |       7.41 |     3
('tantum', 'quantum')          |       7.40 |     8
('idus', 'maias')              |       7.39 |     6
('iii', 'idus')                |       7.39 |     3
('forensis', 'domesticus')     |       7.35 |     4
('kal', 'nox')                 |       7.23 |     3
('tribunatus', 'peto')         |       7.22 |     3
('laodicea', 'sextilis')       |       7.22 |     4
('corfinium', 'exercitus')     |       7.22 |     3
('salus', 'ascribo')           |       7.04 |     4
('tribunus', 'plebs')          |       7.04 |    30
('formianus', 'maias')         |       7.04 |     5
('scelus', 'praetermitto')     |       7.02 |     3
('forensis', 'labor')          |       7.02 |     3
('nisi', 'aes')                |       7.02 |     3
('oratio', 'nomino')           |       7.00 |     3
('discedo', 'revertor')        |       7.00 |     3
('pontifex', 'decerno')        |       7.00 |     3
('ius', 'syngrapha')           |       6.97 |     3
('syngrapha', 'ius')           |       6.97 |     3
('parthicus', 'bellum')        |       6.95 |     3
('tribunatus', 'plebs')        |       6.93 |     3
('antonius', 'cogo')           |       6.90 |     3
('copia', 'contraho')          |       6.88 |     3
('consulatus', 'triumphus')    |       6.87 |     3
('bibulus', 'caelum')          |       6.83 |     3
('salaminii', 'pecunia')       |       6.68 |     3
('quintus', 'aquinum')         |       6.66 |     3
('mensis', 'quintilis')        |       6.64 |     3
('salaminii', 'scaptius')      |       6.61 |     3
('italia', 'cedo')             |       6.59 |     4
('dignitas', 'tueor')          |       6.50 |     3
('formianus', 'antium')        |       6.50 |     3
('pax', 'bellum')              |       6.49 |     4
('rex', 'appello')             |       6.48 |     3
('comitium', 'differo')        |       6.48 |     3
('quomodo', 'modo')            |       6.46 |    18
('umquam', 'afficio')          |       6.42 |     3
('cassius', 'familiaris')      |       6.42 |     3
('brutus', 'salaminii')        |       6.42 |     3
('maneo', 'profecto')          |       6.40 |     3
('vehementer', 'gaudeo')       |       6.37 |     5
('gaius', 'piso')              |       6.33 |     3
('relinquo', 'monetary.expression') |       6.28 |     3
('postulo', 'princeps')        |       6.26 |     3
('committo', 'audeo')          |       6.26 |     3
('marcus', 'piso')             |       6.24 |     4
('sophocles', 'greek.expression') |       6.24 |     4
('num', 'omnino')              |       6.24 |     3
('usque', 'maias')             |       6.22 |     3
('civis', 'romanus')           |       6.22 |     3
('tantus', 'afficio')          |       6.20 |     4
('fufius', 'tribunus')         |       6.18 |     3
('quare', 'advolo')            |       6.18 |     3
('re', 'advolo')               |       6.18 |     3
('consultum', 'syngrapha')     |       6.18 |     3
('domitius', 'cohors')         |       6.14 |     4
('formianus', 'usque')         |       6.13 |     3
('usque', 'forum')             |       6.13 |     3
('ibi', 'pomptinus')           |       6.12 |     3
('tantus', 'calamitas')        |       6.10 |     3
('longe', 'absum')             |       6.10 |     3
('pecunia', 'solvo')           |       6.09 |     4
('affligo', 'umquam')          |       6.05 |     3
('vere', 'loquor')             |       6.03 |     3
('moleste', 'fero')            |       6.00 |    10
('dolor', 'afficio')           |       5.98 |     3
('cum', 'tum')                 |       5.94 |    25
('laodicea', 'ibi')            |       5.93 |     3
('septimus', 'dies')           |       5.92 |     6
('quintus', 'flaccus')         |       5.92 |     3
('quintus', 'praeficio')       |       5.92 |     3
('soror', 'filius')            |       5.90 |     4
('malo', 'vinco')              |       5.90 |     3
('frater', 'praeficio')        |       5.86 |     3
('ambo', 'consul')             |       5.84 |     3
('greek.expression', 'calvus') |       5.82 |     3
('greek.expression', 'compitalia') |       5.82 |     3
('immo', 'vero')               |       5.82 |     3
('greek.expression', 'desido') |       5.82 |     3
('greek.expression', 'repentinus') |       5.82 |     3
('raudusculum', 'greek.expression') |       5.82 |     3
('alsus', 'greek.expression')  |       5.82 |     3
('greek.expression', 'triens') |       5.82 |     3
('greek.expression', 'suppedito') |       5.82 |     3
('deoleo', 'greek.expression') |       5.82 |     3
('caesar', 'corfinium')        |       5.81 |     4
('senatus', 'consultum')       |       5.77 |    33
('thessalonica', 'statuo')     |       5.76 |     3
('utilis', 'neque')            |       5.75 |     3
('pronuntio', 'do')            |       5.74 |     3
('magistratus', 'tribunus')    |       5.72 |     3
('lex', 'iulius')              |       5.70 |     3
('reddo', 'tertius')           |       5.69 |     3
('edictum', 'bibulus')         |       5.64 |     3
('iustus', 'causa')            |       5.63 |     3
('certo', 'scio')              |       5.63 |     8
('lucius', 'domitius')         |       5.61 |     7
('quintus', 'frater')          |       5.58 |    35
('lex', 'abrogo')              |       5.56 |     5
('curo', 'valeo')              |       5.56 |    16
('homo', 'nequam')             |       5.53 |     5
('publius', 'clodius')         |       5.51 |     8
('exemplum', 'mitto')          |       5.48 |     3
('senatus', 'frequens')        |       5.45 |     4
('probo', 'gaudeo')            |       5.41 |     3
('quantum', 'amo')             |       5.38 |     5
('multus', 'sollicito')        |       5.38 |     3
