============================================================
CICERO: TOP PAIRS by FREQUENCY (Raw Count)
============================================================

Pair                           | Count
------------------------------------------------------------
('res', 'publicus')            |   130
('non', 'possum')              |    61
('scribo', 'non')              |    46
('non', 'etiam')               |    44
('ut', 'scribo')               |    42
('ne', 'quidem')               |    40
('non', 'modo')                |    39
('non', 'video')               |    38
('possum', 'non')              |    37
('quintus', 'frater')          |    35
('non', 'enim')                |    35
('tam', 'quam')                |    34
('greek.expression', 'enim')   |    33
('quare', 're')                |    33
('res', 'scribo')              |    33
('senatus', 'consultum')       |    33
('non', 'quam')                |    32
('tribunus', 'plebs')          |    30
('non', 'scribo')              |    30
('littera', 'do')              |    30
('res', 'non')                 |    30
('mehercule', 'hercule')       |    29
('facio', 'non')               |    29
('non', 'ne')                  |    27
('non', 'puto')                |    26
('non', 'res')                 |    26
('tamen', 'non')               |    26
('non', 'facio')               |    26
('greek.expression', 'video')  |    25
('cum', 'tum')                 |    25
('littera', 'mitto')           |    25
('dico', 'non')                |    25
('greek.expression', 'non')    |    25
('non', 'habeo')               |    25
('ne', 'possum')               |    24
('video', 'quam')              |    24
('enim', 'non')                |    24
('volo', 'scribo')             |    24
('scribo', 'res')              |    24
('quam', 'res')                |    24
('non', 'tamen')               |    24
('modo', 'etiam')              |    23
('res', 'ago')                 |    23
('video', 'non')               |    23
('littera', 'scribo')          |    23
('do', 'littera')              |    23
('habeo', 'non')               |    23
('quam', 'video')              |    22
('ut', 'non')                  |    22
('magis', 'quam')              |    22
('possum', 'res')              |    21
('quam', 'non')                |    21
('ne', 'enim')                 |    21
('facio', 'possum')            |    21
('possum', 'ne')               |    21
('do', 'scribo')               |    21
('non', 'tam')                 |    21
('scribo', 'video')            |    21
('ne', 'non')                  |    21
('non', 'magnus')              |    21
('res', 'habeo')               |    20
('possum', 'quam')             |    20
('video', 'scribo')            |    20
('etiam', 'non')               |    19
('video', 'enim')              |    19
('scribo', 'enim')             |    19
('scribo', 'do')               |    19
('scio', 'volo')               |    19
('ut', 'video')                |    19
('non', 'greek.expression')    |    18
('video', 'ne')                |    18
('scribo', 'volo')             |    18
('quomodo', 'modo')            |    18
('enim', 'video')              |    18
('nam', 'non')                 |    18
('littera', 'non')             |    18
('potius', 'quam')             |    18
('video', 'res')               |    17
('video', 'possum')            |    17
('etiam', 'greek.expression')  |    17
('enim', 'res')                |    17
('scribo', 'quam')             |    17
('non', 'dubito')              |    17
('habeo', 'ne')                |    17
('scribo', 'etiam')            |    17
('do', 'non')                  |    17
('facio', 'scio')              |    17
('ut', 'greek.expression')     |    17
('multus', 'scribo')           |    17
('quam', 'scribo')             |    17
('non', 'nam')                 |    17
('greek.expression', 'scribo') |    17
('possum', 'video')            |    16
('res', 'video')               |    16
('homo', 'non')                |    16
('non', 'venio')               |    16
('scribo', 'ita')              |    16
('habeo', 'scribo')            |    16
('curo', 'valeo')              |    16
('ago', 'res')                 |    16
('video', 'multus')            |    16
('facio', 'volo')              |    16
('bonus', 'non')               |    16
('dico', 'greek.expression')   |    16
('scribo', 'littera')          |    16
('ago', 'non')                 |    16
('non', 'volo')                |    16
('accipio', 'littera')         |    16
('res', 'ne')                  |    15
('nunc', 'res')                |    15
('res', 'etiam')               |    15
('solum', 'etiam')             |    15
('res', 'ita')                 |    15
('res', 'quam')                |    15
('malo', 'quam')               |    15
('scio', 'res')                |    15
('ut', 'volo')                 |    15
('facio', 'quam')              |    15
('res', 'senatus')             |    15
('multus', 'res')              |    15
('non', 'do')                  |    15
('scribo', 'greek.expression') |    15
('volo', 'non')                |    15
('possum', 'enim')             |    15
('pompeius', 'res')            |    15
('scribo', 'venio')            |    15
('quam', 'volo')               |    14
('greek.expression', 'quam')   |    14
('autem', 'non')               |    14
('scribo', 'possum')           |    14
('do', 'opera')                |    14
('multus', 'quam')             |    14
('scribo', 'habeo')            |    14
('non', 'ut')                  |    14
('non', 'solum')               |    14
('facio', 'video')             |    14
('enim', 'greek.expression')   |    14
('quam', 'puto')               |    14
('res', 'enim')                |    14
('res', 'ut')                  |    14
('volo', 'facio')              |    14
('mitto', 'non')               |    14
('scribo', 'ne')               |    14
('tamen', 'volo')              |    13
('etiam', 'nunc')              |    13
('verum', 'tamen')             |    13
('puto', 'non')                |    13
('video', 'greek.expression')  |    13
('volo', 'quam')               |    13
('scribo', 'facio')            |    13
('possum', 'scribo')           |    13
('volo', 'ut')                 |    13
('dico', 'ne')                 |    13
('modus', 'non')               |    13
('volo', 'greek.expression')   |    13
('facio', 'certus')            |    13
('quam', 'primum')             |    13
('non', 'satis')               |    13
('habeo', 'possum')            |    13
('non', 'homo')                |    13
('facio', 'res')               |    13
('ita', 'res')                 |    13
('greek.expression', 'ut')     |    13
('fio', 'possum')              |    13
('epistula', 'do')             |    13
('ne', 'scio')                 |    13
('ne', 'do')                   |    13
('non', 'licet')               |    13
('ut', 'spero')                |    13
('res', 'pompeius')            |    13
('non', 'dico')                |    13
('possum', 'ago')              |    13
('alter', 'non')               |    13
('roma', 'littera')            |    13
('ne', 'scribo')               |    13
('greek.expression', 'dico')   |    13
('possum', 'greek.expression') |    13
('greek.expression', 'etiam')  |    13
('facio', 'ago')               |    13
('iter', 'facio')              |    13
('ne', 'dico')                 |    12
('res', 'facio')               |    12
('ne', 'res')                  |    12
('volo', 'possum')             |    12
('volo', 'puto')               |    12
('facio', 'scribo')            |    12
('non', 'autem')               |    12
('quam', 'littera')            |    12
('volo', 'scio')               |    12
('ita', 'non')                 |    12
('quaero', 'greek.expression') |    12
('res', 'magnus')              |    12
('consilium', 'non')           |    12
('non', 'credo')               |    12
('ut', 'opinor')               |    12
('nunc', 'non')                |    12
('littera', 'exspecto')        |    12
('quidem', 'possum')           |    12
('littera', 'roma')            |    12
('consilium', 'res')           |    12
('non', 'fero')                |    12
('non', 'multus')              |    12
('nunc', 'scribo')             |    12
('dico', 'enim')               |    12
('non', 'mehercule')           |    12
('venio', 'littera')           |    12
('dies', 'venio')              |    12
('non', 'bonus')               |    12
('tamen', 'scribo')            |    12
('epistula', 'scribo')         |    12
('quam', 'possum')             |    12
('eo', 'non')                  |    12
('res', 'volo')                |    12
('quam', 'etiam')              |    11
('iam', 'res')                 |    11
('res', 'iam')                 |    11
('res', 'dico')                |    11
('etiam', 'quam')              |    11
('tempus', 'res')              |    11
('enim', 'quam')               |    11
('mitto', 'scribo')            |    11
('ita', 'volo')                |    11
('do', 'dies')                 |    11
('ne', 'quam')                 |    11
('volo', 'res')                |    11
('ut', 'facio')                |    11
('habeo', 'greek.expression')  |    11
('greek.expression', 'possum') |    11
('non', 'ita')                 |    11
('magnus', 'opus')             |    11
('res', 'causa')               |    11
('non', 'itaque')              |    11
('senatus', 'non')             |    11
('fero', 'non')                |    11
('multo', 'quam')              |    11
('ne', 'video')                |    11
('possum', 'dico')             |    11
('greek.expression', 'facio')  |    11
('non', 'parum')               |    11
('dies', 'non')                |    11
('quam', 'facio')              |    11
('autem', 'res')               |    11
('video', 'autem')             |    11
('ita', 'facio')               |    11
('ago', 'video')               |    11
('modo', 'non')                |    11
('non', 'quidem')              |    11
('publicus', 'scribo')         |    11
('non', 'hercule')             |    11
('quam', 'tamen')              |    11
('non', 'scio')                |    11
('greek.expression', 'scio')   |    11
('eo', 'magis')                |    11
('video', 'puto')              |    11
('facio', 'puto')              |    11
('ago', 'scio')                |    11
